ResponseId,Age,EdLevel,Employment,WorkExp,LearnCodeAI,DevType,OrgSize,RemoteWork,Industry,Country,Language,Database,Salary,EDU,WE,SS Index
41,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,33,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, full-stack",500 to 999 employees,"Hybrid (some in-person, leans heavy to flexibility)",Fintech,United States of America,HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL,IBM DB2;MariaDB;Microsoft SQL Server;MySQL;Oracle;SQLite,99999,0.8,0.5,39999.6
43,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,25,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Developer, mobile","10,000 or more employees",Remote,Software Development,United States of America,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;Swift;TypeScript;Visual Basic (.Net),Microsoft SQL Server;MySQL;Oracle;SQLite,250000,0.9,0.5,112500
44,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, game or graphics",100 to 499 employees,Remote,Software Development,Czech Republic,C#;C++;Python,NA,43810,0.9,0.815789474,32165.76316
48,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end",100 to 499 employees,"Hybrid (some in-person, leans heavy to flexibility)",Manufacturing,Malaysia,Go;Java;JavaScript;Python;TypeScript,Dynamodb;PostgreSQL,28275,1,0.894736842,25298.68421
52,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,15,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, game or graphics",100 to 499 employees,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Netherlands,C#;C++;Lua;PowerShell;Python;R,NA,81210,1,0.631578947,51290.52632
53,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,20,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Architect, software or solutions",100 to 499 employees,"Hybrid (some remote, leans heavy to in-person)",Software Development,Egypt,Bash/Shell (all shells);C;C#;Go;HTML/CSS;JavaScript;Lua;PowerShell;Python;SQL;TypeScript;Zig,Cosmos DB;Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite;Supabase,63909,1,0.5,31954.5
56,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, desktop or enterprise applications","5,000 to 9,999 employees","Hybrid (some remote, leans heavy to in-person)",Software Development,Austria,Assembly;C++;Groovy;Java;JavaScript;Kotlin;Rust;TypeScript,NA,46406,0.9,0.947368421,39567.22105
61,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,17,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end","1,000 to 4,999 employees",Remote,Software Development,Spain,Bash/Shell (all shells);Java;SQL,BigQuery;Elasticsearch;MySQL;Oracle;PostgreSQL;Redis,67289,1,0.578947368,38956.78947
64,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,26,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, full-stack","1,000 to 4,999 employees",Remote,Software Development,United States of America,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Dynamodb;MySQL;Snowflake,245000,1,0.5,122500
68,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end","1,000 to 4,999 employees","Hybrid (some remote, leans heavy to in-person)","Internet, Telecomm or Information Services",Sweden,Groovy;Java,Elasticsearch;MariaDB;MongoDB;MySQL;Redis;Supabase,75472,1,0.789473684,59583.15789
73,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10,"No, I didn't spend time learning in the past year","Developer, back-end",100 to 499 employees,"Hybrid (some remote, leans heavy to in-person)",Software Development,United States of America,C++;Java;Python,NA,150000,1,0.763157895,114473.6842
86,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, AI apps or physical AI","5,000 to 9,999 employees",Remote,Software Development,Italy,C;C++;Python;Rust,NA,139218,0.9,0.631578947,79134.44211
88,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, embedded applications or devices",100 to 499 employees,In-person,"Transportation, or Supply Chain",Spain,Assembly;Bash/Shell (all shells);C;C++;Python,NA,25523,1,0.973684211,24851.34211
93,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, embedded applications or devices","5,000 to 9,999 employees","Hybrid (some remote, leans heavy to in-person)",Software Development,United Kingdom of Great Britain and Northern Ireland,Ada;Bash/Shell (all shells);C;C++,NA,81685,1,0.868421053,70936.97368
96,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,33,"No, I didn't spend time learning in the past year","Developer, AI apps or physical AI","1,000 to 4,999 employees",Remote,Manufacturing,Belgium,C;C++;Lua;Python;SQL,Oracle;SQLite,167061,0.8,0.5,66824.4
103,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,17,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end",100 to 499 employees,Remote,Software Development,Italy,Bash/Shell (all shells);JavaScript;Lua;Python;SQL;TypeScript,NA,83531,1.25,0.578947368,60450.06579
106,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,21,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end",100 to 499 employees,"Hybrid (some remote, leans heavy to in-person)",Government,Norway,C#;PowerShell;SQL,Microsoft SQL Server;PostgreSQL,87561,1,0.5,43780.5
120,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,4,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",Data engineer,"1,000 to 4,999 employees","Hybrid (some in-person, leans heavy to flexibility)",Software Development,Spain,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,MySQL;Oracle;PostgreSQL;Clickhouse,41765,0.9,0.921052632,34620.98684
123,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,22,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, full-stack","1,000 to 4,999 employees",Remote,Manufacturing,Canada,Bash/Shell (all shells);C#;Java;JavaScript;Kotlin;PHP;PowerShell;SQL;Swift;TypeScript,Cassandra;Elasticsearch;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,65663,1,0.5,32831.5
124,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,16,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, full-stack",100 to 499 employees,Remote,"Internet, Telecomm or Information Services",Canada,Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Dynamodb;MySQL;PostgreSQL;Redis,113085,1.25,0.605263158,85557.73026
129,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,20,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",Cloud infrastructure engineer,"10,000 or more employees",Remote,Software Development,United States of America,C#;HTML/CSS;JavaScript;Python;TypeScript,Microsoft SQL Server;PostgreSQL;Redis,295000,1,0.5,147500
131,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, full-stack",100 to 499 employees,In-person,Government,United States of America,Bash/Shell (all shells);C++;Go;Java;JavaScript;Perl;PHP;Python;SQL;TypeScript,Oracle;SQLite,80000,1,0.947368421,75789.47368
132,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end","1,000 to 4,999 employees",Remote,Other:,United States of America,C#;Go;PowerShell;Python;TypeScript,Dynamodb;Elasticsearch;PostgreSQL;Snowflake;SQLite;Supabase,350000,1,0.5,175000
134,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Developer, full-stack","10,000 or more employees","Hybrid (some in-person, leans heavy to flexibility)","Transportation, or Supply Chain",India,HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server;MySQL;PostgreSQL,20109,1,0.921052632,18521.44737
137,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,19,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, mobile","10,000 or more employees","Hybrid (some remote, leans heavy to in-person)",Software Development,Republic of Moldova,Bash/Shell (all shells);C++;Dart;Java;JavaScript;Kotlin;PowerShell;Ruby;Swift;TypeScript,MariaDB;PostgreSQL,4873,1,0.526315789,2564.736842
142,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, embedded applications or devices","1,000 to 4,999 employees",In-person,"Internet, Telecomm or Information Services",France,Bash/Shell (all shells);C;C++;Rust,NA,27844,0.9,0.947368421,23740.67368
146,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,8,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, desktop or enterprise applications","10,000 or more employees","Hybrid (some in-person, leans heavy to flexibility)",Manufacturing,Germany,C#;F#;PowerShell;Rust;SQL;Zig,Oracle;Redis;SQLite,83531,0.8,0.815789474,54514.96842
149,55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,36,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, full-stack",100 to 499 employees,"Hybrid (some remote, leans heavy to in-person)",Manufacturing,United States of America,C#;HTML/CSS;SQL;VBA;Visual Basic (.Net),IBM DB2;Microsoft Access;Microsoft SQL Server,150000,1,0.5,75000
150,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, full-stack",100 to 499 employees,Remote,Software Development,United States of America,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server;Redis;Snowflake,200000,0.9,0.631578947,113684.2105
151,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,30,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end",500 to 999 employees,Remote,Software Development,France,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,MariaDB;MySQL;PostgreSQL;Supabase,69609,0.9,0.5,31324.05
155,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,32,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",Project manager,"10,000 or more employees","Hybrid (some in-person, leans heavy to flexibility)",Energy,Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL;VBA,MariaDB;Microsoft Access;MySQL;SQLite,91018,0.9,0.5,40958.1
160,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,15,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, full-stack",100 to 499 employees,Remote,Software Development,United States of America,C#;HTML/CSS;Rust;TypeScript,MySQL;Redis,165000,1,0.631578947,104210.5263
169,55-64 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,39,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, full-stack",100 to 499 employees,"Hybrid (some remote, leans heavy to in-person)",Software Development,Italy,HTML/CSS;Java;SQL,IBM DB2;MariaDB,46406,1.25,0.5,29003.75
172,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,11,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Developer, embedded applications or devices","10,000 or more employees","Hybrid (some in-person, leans heavy to flexibility)",Software Development,Germany,Bash/Shell (all shells);C;C++;Java;JavaScript;PowerShell;Python;TypeScript,NA,116015,0.9,0.736842105,76936.26316
179,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Developer, back-end","1,000 to 4,999 employees","Hybrid (some in-person, leans heavy to flexibility)",Healthcare,Canada,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;SQL,Elasticsearch;Microsoft SQL Server,72958,1,0.947368421,69118.10526
181,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,2,"No, I didn't spend time learning in the past year",Applied scientist,100 to 499 employees,In-person,Energy,"Iran, Islamic Republic of...",MATLAB,NA,6000,0.8,0.973684211,4673.684211
195,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,20,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, back-end",100 to 499 employees,Remote,Fintech,United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,MariaDB;MySQL;PostgreSQL;Redis;SQLite;Supabase,129334,1,0.5,64667
198,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, full-stack",500 to 999 employees,Remote,Government,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Elasticsearch;MySQL;PostgreSQL,190000,1,0.5,95000
204,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Developer, full-stack",100 to 499 employees,Remote,Retail and Consumer Services,Germany,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,BigQuery;Elasticsearch;InfluxDB;MariaDB;Microsoft SQL Server;PostgreSQL;Redis,116015,1,0.710526316,82431.71053
209,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,17,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, embedded applications or devices","10,000 or more employees","Hybrid (some remote, leans heavy to in-person)",Software Development,United States of America,C++;Python,NA,140000,0.9,0.578947368,72947.36842
210,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,8,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, full-stack","5,000 to 9,999 employees",Remote,Software Development,Argentina,HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,MongoDB;MySQL;PostgreSQL,78000,0.8,0.815789474,50905.26316
211,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,5,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Developer, front-end",100 to 499 employees,Remote,Software Development,Ukraine,HTML/CSS;JavaScript;Python;TypeScript,NA,1208,0.9,0.894736842,972.7578947
212,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",DevOps engineer or professional,"5,000 to 9,999 employees","Hybrid (some in-person, leans heavy to flexibility)",Insurance,Germany,C;COBOL;Java;Python;SQL,IBM DB2;MariaDB;Neo4J;SQLite,63808,1,0.894736842,57091.36842
217,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,13,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end",100 to 499 employees,Remote,"Transportation, or Supply Chain",Canada,PHP;SQL;TypeScript,BigQuery;Cassandra;Cloud Firestore;Elasticsearch;MariaDB;Neo4J;PostgreSQL,248250,1,0.684210526,169855.2632
221,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,14,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end",100 to 499 employees,Remote,Media & Advertising Services,United States of America,Bash/Shell (all shells);C#;JavaScript;PowerShell;SQL,Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL,200000,1,0.657894737,131578.9474
224,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,20,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",Data or business analyst,100 to 499 employees,"Hybrid (some remote, leans heavy to in-person)",Software Development,Finland,HTML/CSS;JavaScript;PHP;Python;R;SQL;TypeScript,DuckDB;MariaDB;MySQL;Redis;Snowflake;SQLite;Amazon Redshift,98612,0.9,0.5,44375.4
229,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Architect, software or solutions","10,000 or more employees","Hybrid (some remote, leans heavy to in-person)",Energy,United States of America,Python;R;SQL,Cosmos DB;Databricks SQL;Microsoft SQL Server,260000,0.9,0.631578947,147789.4737
230,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,13,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Developer, full-stack","1,000 to 4,999 employees",Remote,Software Development,United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Microsoft SQL Server,97682,1,0.684210526,66835.05263
231,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,13,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end",100 to 499 employees,Remote,Software Development,Colombia,Bash/Shell (all shells);Go;HTML/CSS;Python;Ruby;SQL,Elasticsearch;PostgreSQL;Redis;Snowflake;SQLite,140000,1,0.684210526,95789.47368
235,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Architect, software or solutions","10,000 or more employees",Remote,Software Development,United States of America,HTML/CSS;JavaScript;TypeScript,NA,135000,1,0.789473684,106578.9474
245,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Developer, embedded applications or devices","10,000 or more employees","Hybrid (some in-person, leans heavy to flexibility)",Software Development,Germany,Assembly;Bash/Shell (all shells);C;C++;Groovy;Java;Lua;Perl;Python;Rust,NA,104413,0.9,0.815789474,76661.12368
246,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, mobile",500 to 999 employees,"Hybrid (some remote, leans heavy to in-person)",Retail and Consumer Services,Germany,Dart;Kotlin;Swift;TypeScript,Cloud Firestore;MySQL,107894,0.9,0.710526316,68995.37368
247,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,28,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end",500 to 999 employees,"Hybrid (some remote, leans heavy to in-person)",Software Development,Ireland,C#;Delphi;Java;Kotlin;PowerShell;Python;R;SQL,Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,92812,0.9,0.5,41765.4
248,55-64 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,24,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, full-stack","1,000 to 4,999 employees",Remote,Other:,United States of America,HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL,Microsoft SQL Server;MySQL,80000,1.25,0.5,50000
249,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",AI/ML engineer,"5,000 to 9,999 employees","Hybrid (some remote, leans heavy to in-person)",Healthcare,Belgium,Assembly;C#;Delphi;Erlang;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Lua;MATLAB;MicroPython;OCaml;Perl;PHP;PowerShell;SQL;Swift;TypeScript;VBA;Zig;Mojo,BigQuery;Cassandra;Cloud Firestore;Cosmos DB;Databricks SQL;Datomic;DuckDB;Dynamodb;Elasticsearch;Firebase Realtime Database;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Redis;Snowflake;SQLite;Supabase;Clickhouse;Cockroachdb;Amazon Redshift;Pocketbase;Valkey,150819,0.9,0.763157895,103588.8395
257,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,17,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Architect, software or solutions","10,000 or more employees",Remote,Software Development,United States of America,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Cosmos DB;DuckDB;Dynamodb;Microsoft SQL Server;MySQL,140000,0.9,0.578947368,72947.36842
260,55-64 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,42,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Architect, software or solutions","10,000 or more employees",Remote,"Internet, Telecomm or Information Services",United States of America,C;HTML/CSS;Java;JavaScript;Perl;PowerShell;Python;SQL,Microsoft SQL Server;MySQL;PostgreSQL,140000,0.9,0.5,63000
262,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",Applied scientist,"1,000 to 4,999 employees","Hybrid (some remote, leans heavy to in-person)",Healthcare,Sweden,MATLAB;Python;R,NA,83531,0.9,0.763157895,57372.60789
264,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,20,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career","Developer, back-end",100 to 499 employees,Remote,Retail and Consumer Services,United States of America,Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;TypeScript,Elasticsearch;PostgreSQL,162000,1,0.5,81000
266,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,20,"No, I didn't spend time learning in the past year","Architect, software or solutions",100 to 499 employees,"Hybrid (some remote, leans heavy to in-person)",Healthcare,Sweden,Bash/Shell (all shells);C#;C++;PowerShell;SQL,NA,83857,0.8,0.5,33542.8
267,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,1,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Developer, full-stack","10,000 or more employees",Remote,Manufacturing,Morocco,GDScript;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis;SQLite,12533,0.9,1,11279.7
